1622494800,group,1,Miesten Superpesis
1622494800,group,2,Naisten Superpesis
1622494800,player,1,Kempeleen Kiri,1
1622494800,player,2,Vimpelin Veto,1
1622494800,player,3,Joensuun Maila,1
1622494800,player,4,Haminan Palloilijat,1
1622494800,player,5,"Kirittäret, Jyväskylä",2
1622494800,player,6,Siilinjärven Pesis,2
1622494800,player,7,Mynämäen Vesa,2
1622494800,player,8,"Pesäkarhut, Pori",2
1622494800,player,9,Kiteen Pallo -90,1
1622494800,player,10,"Pattijoen Urheilijat, Raahe",1
1622494800,player,11,Lapuan Virkiä,2
1622494800,player,12,Kempeleen Kiri,2
1622494800,player,13,Koskenkorvan Urheilijat,1
1622494800,player,14,Imatran Pallo-Veikot,1
1622494800,player,15,Sotkamon Jymy,1
1622494800,player,16,Siilinjärven Pesis,1
1622494800,player,17,"Manse PP, Tampere",1
1622494800,player,18,Hyvinkään Tahko,1
1622494800,player,19,Seinäjoen JymyJussit,1
1622494800,player,20,"Manse PP, Tampere",2
1622494800,player,21,Hyvinkään Tahko,2
1622494800,player,22,Seinäjoen Maila-Jussit,2
1622494800,player,23,"Roihuttaret, Helsinki",2
1622494800,player,24,Kankaanpään Maila,1
1622494800,player,25,Kouvolan Pallonlyöjät,1
1622494800,player,26,Joensuun Maila,2
1622494800,player,27,"Fera, Rauma",2
1622494800,player,28,"Pesä Ysit, Lappeenranta",2
1622581200,match,1,2,0
1622581200,match,3,4,1
1622581200,match,5,6,1
1622581200,match,7,8,0
1622667600,match,9,10,0.66
1622667600,match,11,12,1
1622667600,match,13,14,0
1622667600,match,15,16,1
1622754000,match,17,18,1
1622754000,match,3,1,0.66
1622926800,match,2,9,1
1622926800,match,15,24,1
1622926800,match,10,17,0
1622926800,match,16,25,1
1623013200,match,19,13,0.66
1623099600,match,3,18,0.33
1623099600,match,12,5,0
1623099600,match,20,21,0.66
1623186000,match,13,4,1
1623186000,match,8,11,1
1623186000,match,6,22,0
1623186000,match,7,23,0
1623272400,match,9,16,0.66
1623272400,match,2,24,1
1623272400,match,14,18,1
1623358800,match,24,2,0
1623358800,match,25,19,1
1623358800,match,17,3,1
1623358800,match,10,1,0
1623358800,match,15,13,1
1623358800,match,5,20,1
1623358800,match,8,23,1
1623358800,match,22,11,0
1623445200,match,4,25,0
1623445200,match,6,12,0.33
1623445200,match,26,27,0
1623531600,match,1,17,0
1623531600,match,19,15,0
1623531600,match,16,9,1
1623531600,match,23,28,0
1623531600,match,20,8,0.33
1623531600,match,7,5,0
1623618000,match,14,3,0
1623704400,match,13,18,0
1623704400,match,10,2,1
1623704400,match,16,4,0
1623704400,match,27,22,0
1623704400,match,21,7,1
1623704400,match,12,26,1
1623704400,match,11,6,1
1623877200,match,4,14,0
1623877200,match,18,9,1
1623877200,match,3,15,1
1623877200,match,1,24,1
1623877200,match,5,12,1
1623963600,match,13,2,0
1623963600,match,25,17,0.66
1623963600,match,20,22,0.66
1623963600,match,8,28,1
1624050000,match,24,16,1
1624050000,match,9,19,1
1624050000,match,15,1,1
1624050000,match,11,23,1
1624050000,match,6,7,0
1624050000,match,26,21,0.33
1624050000,match,27,28,1
1624136400,match,18,25,0
1624136400,match,2,4,1
1624136400,match,14,19,0.33
1624136400,match,17,16,1
1624136400,match,10,13,0.66
1624136400,match,6,21,0
1624136400,match,12,7,0.33
1624136400,match,22,23,0.66
1624222800,match,1,3,1
1624309200,match,14,17,0.33
1624309200,match,9,15,0.33
1624309200,match,26,8,0
1624309200,match,5,22,1
1624395600,match,3,13,1
1624395600,match,24,25,0
1624395600,match,19,18,1
1624395600,match,21,20,0.33
1624395600,match,12,6,1
1624395600,match,7,11,0
1624395600,match,28,8,0
1624395600,match,23,27,1
